date,total_trades,total_pnl,avg_pnl,win_rate,avg_fee,avg_trade_size_usd,long_ratio,sentiment_regime,sentiment_binary
2023-05-01,3,0.0,0.0,0.0,0.0,159.0,0.0,Greed,1
2023-12-05,9,0.0,0.0,0.0,1.3890505555555555,5556.203333333334,0.0,Greed,1
2023-12-14,11,-205.43473700000007,-18.675885181818188,0.36363636363636365,2.5728028181818186,10291.213636363636,0.0,Greed,1
2023-12-15,2,-24.632033999999997,-12.316016999999999,0.0,1.3262445,5304.975,0.0,Greed,1
2023-12-16,3,0.0,0.0,0.0,1.279063,5116.256666666667,0.0,Greed,1
2023-12-17,14,304.982785,21.78448464285714,0.5,2.076392785714286,8305.572857142857,0.0,Greed,1
2023-12-18,2,0.0,0.0,0.0,3.8955225,15582.089999999998,0.0,Greed,1
2023-12-19,15,1000.5386120000001,66.70257413333334,0.6666666666666666,1.5267064,6106.827333333334,0.0,Greed,1
2023-12-20,18,162.732282,9.040682333333333,0.4444444444444444,1.9671770555555557,7868.710555555556,0.0,Greed,1
2023-12-21,49,537.211402,10.963498000000001,0.5306122448979592,0.6389483469387754,2555.795306122449,0.0,Greed,1
2023-12-22,10,141.832675,14.1832675,0.2,2.2218566,8887.428,0.0,Greed,1
2023-12-23,13,146.936704,11.302823384615383,0.6153846153846154,1.5084273076923078,6033.711538461538,0.0,Greed,1
2023-12-24,39,1008.619956,25.862050153846155,0.38461538461538464,2.5830439743589744,10332.177948717948,0.0,Greed,1
2023-12-25,3,-245.081348,-81.69378266666666,0.0,4.995708333333333,19982.836666666666,0.0,Greed,1
2023-12-27,28,-704.8892269999999,-25.174615249999995,0.14285714285714285,1.53045525,6121.823571428571,0.0,Greed,1
2023-12-28,23,-970.730876,-42.20569026086957,0.0,1.0882304347826086,4352.923913043478,0.0,Greed,1
2023-12-29,50,508.92214299999995,10.178442859999999,0.3,2.8477980200000004,11391.1944,0.0,Greed,1
2023-12-30,52,354.998648,6.826897076923077,0.4423076923076923,3.377644730769231,13510.58096153846,0.0,Greed,1
2024-01-01,18,-129.53146,-7.196192222222223,0.05555555555555555,3.6699926111111107,14679.973888888888,0.0,Greed,1
2024-01-02,17,783.979116,46.11641858823529,0.47058823529411764,1.7845397647058823,7138.1611764705885,0.0,Greed,1
2024-01-03,67,866.015507,12.925604582089552,0.417910447761194,1.4720121044776118,5888.050149253731,0.0,Greed,1
2024-01-04,5,-67.60364,-13.520728,0.0,4.989626400000001,19958.508,0.0,Greed,1
2024-01-05,66,164.141565,2.486993409090909,0.19696969696969696,6.4543278636363635,25817.31303030303,0.0,Greed,1
2024-01-06,22,135.58166400000002,6.16280290909091,0.45454545454545453,3.3922882727272725,13569.154545454547,0.0,Greed,1
2024-01-07,97,-835.681235,-8.615270463917525,0.09278350515463918,2.7032212783505156,10812.887216494846,0.0,Greed,1
2024-01-08,128,-269.874439,-2.1083940546875,0.25,2.9735395625,11894.159609375,0.0,Greed,1
2024-01-09,70,-826.349863,-11.804998042857143,0.2571428571428571,2.9144704,12429.313857142857,0.0,Greed,1
2024-01-10,193,-1517.091342,-7.860576901554404,0.21243523316062177,2.2489371243523317,10660.515440414507,0.0,Greed,1
2024-01-11,21,-164.08950099999998,-7.813785761904761,0.23809523809523808,3.6127224285714283,14538.766666666666,0.0,Greed,1
2024-01-12,7,-1925.519024,-275.0741462857143,0.0,7.068675285714285,28583.181428571428,0.0,Greed,1
2024-01-15,14,152.85358,10.918112857142857,0.6428571428571429,0.9037651428571428,3616.8642857142854,0.0,Neutral,0
2024-01-16,9,-2299.171458,-255.4634953333333,0.3333333333333333,1.9243676666666667,12936.37,0.0,Greed,1
2024-01-17,53,813.2741110000001,15.344794547169812,0.20754716981132076,3.0133510566037733,15110.019433962265,0.0,Greed,1
2024-01-18,46,68.93319,1.4985476086956522,0.06521739130434782,2.014302195652174,9231.120217391304,0.0,Greed,1
2024-01-19,48,-385.419235,-8.029567395833334,0.125,1.9385805833333334,8925.603541666665,0.0,Neutral,0
2024-01-20,106,-146.57487000000003,-1.3827817924528305,0.14150943396226415,2.5237979528301886,10095.193490566038,0.0,Neutral,0
2024-01-21,11,266.58114600000005,24.234649636363642,0.2727272727272727,2.343857272727273,9375.43090909091,0.0,Greed,1
2024-01-22,85,1375.640959,16.18401128235294,0.27058823529411763,0.7938619764705882,3975.0469411764707,0.0,Greed,1
2024-01-23,45,-369.2447299999998,-8.20543844444444,0.24444444444444444,1.9049904444444445,9211.531777777778,0.0,Neutral,0
2024-01-24,68,-2808.353815,-41.29932080882353,0.14705882352941177,3.3495749264705883,14192.42044117647,0.0,Neutral,0
2024-01-25,6,-3093.6293849999997,-515.6048975,0.0,2.773588666666667,11094.355000000001,0.0,Neutral,0
2024-01-26,5,90.2,18.04,0.2,0.088847,2354.642,0.0,Neutral,0
